CRS ID,Surname,Preferred name,College,,Choice 1,Choice 2,Choice 3,Choice 4,Choice 5,Group,Allocated to
stu19,firstname19,lastname19,M,,F-ib255-2,,,,,F,F-ib255-2
stu20,firstname20,lastname20,HO,,C-ajk61-1,C-pok21-2,C-gnw20-2,,,,
stu21,firstname21,lastname21,CHU,.,F-sb2330-1,C-pok21-1,C-pok21-5,D-ib340-3,C-pok21-2,F,F-sb2330-2
stu22,firstname22,lastname22,JE,.,C-aas41-1,C-pjgl2-4,C-pjgl2-2,B-aas41-3,,B,"B-tl322-3
*"
stu23,firstname23,lastname23,Q,,C-pok21-3,F-jl221-3,B-tdw13-1,C-pok21-4,,C,"C-pok21-3
*"
stu24,firstname24,lastname24,F,,B-tdw13-3,C-yysh2-1,C-pok21-4,F-gv103-1,C-pjgl2-2,B,"B-tdw13-3
*"
stu25,firstname25,lastname25,Q,,B-gmb49-1,F-sjg30-4,F-fm456-2,F-mjfg100-3,F-jl221-3,B,"B-gmb49-1
*"
stu26,firstname26,lastname26,HH,,D-fam20-7,C-hemh1-3,C-dc29-3,,,D,"D-fam20-7
*"
stu27,firstname27,lastname27,JE,,D-jma42-1,C-rd439-1,C-mpfs1-2,C-ajk61-2,C-am253-2,C,"C-mpfs1-2
*"
stu28,firstname28,lastname28,T,,F-wjb31-2,F-jl221-1,F-jl221-3,F-ml468-1,,F,F-wjb31-2
stu29,firstname29,lastname29,ED,,,,,,,,
stu30,firstname30,lastname30,PET,,B-acf26-2,B-lgo23-1,B-sjs1001-1,B-sjs1001-2,,B,"B-lgo23-1
*"
stu31,firstname31,lastname31,CTH,,F-pw117-2,F-jmh233-3,F-cer54-1,F-pw117-1,C-bl377-1,F,"F-pw117-2
*"
stu32,firstname32,lastname32,HH,,F-jmh233-2,C-gnw20-2,D-sas229-5,F-es607-2,D-sas229-1,F,F-jmh233-2
stu33,firstname33,lastname33,Q,,D-sas229-1,B-par10-3,B-gm603-3,B-par10-2,B-mjc87-2,D,"D-sas229-1
*"
stu34,firstname34,lastname34,Q,,F-aw665-b15469,,,,,F,"F-aw665-b15469
*"
stu35,firstname35,lastname35,T,,F-ml468-4,,,,,F,F-ml468-4
stu36,firstname36,lastname36,TH,,B-acf26-4,B-par10-3,B-gm603-3,B-tl322-1,B-ajf23-4,B,"B-acf26-4
*"
stu37,firstname37,lastname37,F,.,F-jl221-1,C-pok21-3,C-pok21-4,C-pok21-2,F-cer54-1,F,"F-jmh233-3
*"
stu38,firstname38,lastname38,CC,,C-hemh1-3,C-gjm31-3,A-aa406-2,A-amb233-3,,A,"A-amb233-3
*"
stu39,firstname39,lastname39,DOW,,F-aw665-2,F-cer54-1,F-cer54-2,F-jmh233-3,,F,"F-aw665-2
*"
stu40,firstname40,lastname40,F,,,,,,,,
stu41,firstname41,lastname41,CHU,,C-jhd25-1,F-es607-2,A-gtp10-1,C-gjm31-1,B-smg84-5,F,F-es607-2
stu42,firstname42,lastname42,JN,,A-gtp10-3,A-amb233-1,A-gtp10-1,F-es607-2,,A,"A-gtp10-3
*"
stu43,firstname43,lastname43,DOW,,D-mag92-1,F-mjfg100-3,C-pok21-3,F-jl221-1,F-gv103-2,D,"D-mag92-1
*"
stu44,firstname44,lastname44,CC,,F-ml468-2,F-sjg30-1,B-gmb49-2,F-jmh233-1,,F,"F-ml468-2
*"
stu45,firstname45,lastname45,R,,F-sma71-3,,"F-mt126-1
F-jl221-1
F-jmh233-2",,C-ajk61-1,F,"F-sma71-3
*"
stu46,firstname46,lastname46,T,,F-es607-1,F-ml468-1,F-es607-2,F-smg84-1,,F,F-es607-1
stu47,firstname47,lastname47,JE,,C-jhd25-1,C-mpfs1-5,D-aa22-2,C-cd229-2,C-aas41-2,C,"C-jhd25-1
*"
stu48,firstname48,lastname48,T,,A-gp10006-2,,,,,A,A-gp10006-2
stu49,firstname49,lastname49,CTH,,D-aa22-4,D-gv278-1,D-aa22-5,D-jml1010-4,D-jml1010-1,D,"D-aa22-4
*"
stu50,firstname50,lastname50,EM,,A-msd38-1,,,,,A,"A-msd38-1
*"
stu51,firstname51,lastname51,HO,,A-jb753-1,A-mpj1001-2,F-icl20-2,A-nra27-1,A-hb209-2,A,A-jb753-1
stu52,firstname52,lastname52,R,,F-mt126-2,F-kmk1001-2,F-mjfg100-3,F-mt126-3,F-gv103-1,F,F-mt126-2
stu53,firstname53,lastname53,N,,A-pad3-1,A-nra27-1,A-mv234-1,,,A,"A-pad3-1
*"
stu54,firstname54,lastname54,SE,,F-hg344-b15497,,,,,F,F-hg344-b15497
stu55,firstname55,lastname55,T,,C-gjm31-2,C-mpfs1-3,C-ts573-1,,,C,"C-gjm31-2
*"
stu56,firstname56,lastname56,EM,,C-hs10000-1,C-dus20-1,C-dc29-1,D-ag806-1,,C,"C-hs10000-1
*"
stu57,firstname57,lastname57,CL,,C-hemh1-3,C-djc13-3,C-jpj1001-2,,,C,"C-hemh1-3
*"
stu58,firstname58,lastname58,G,,C-yysh2-2,C-am253-2,C-mpfs1-3,C-yysh2-3,C-cd229-2,C,"C-yysh2-2
*"
stu59,firstname59,lastname59,CTH,,A-nra27-b15498,,,,,A,A-nra27-b15498
stu60,firstname60,lastname60,HO,,B-gm603-1,F-jl221-1,C-pok21-3,C-pok21-5,C-pok21-4,B,"B-gm603-1
*"
stu61,firstname61,lastname61,CTH,.,D-ib340-2,F-jl221-3,F-mt126-1,F-jjc75-1,F-op205-1,D,"D-ib340-4
*"
stu62,firstname62,lastname62,MUR,,D-ss683-2,B-rvp11-1,,,,D,"D-ss683-2
*"
stu63,firstname63,lastname63,DOW,,C-gnw20-1,C-gnw20-2,C-gnw20-3,F-jmh233-2,F-cer54-2,C,"C-gnw20-3
*"
stu64,firstname64,lastname64,Q,,D-cjb19-2,D-sdg13-3,D-jml1010-3,,,D,"D-cjb19-2
*"
stu65,firstname65,lastname65,CHU,,C-jhd25-2,B-acf26-1,B-cd229-1,B-acf26-2,,C,"C-jhd25-2
*"
stu66,firstname66,lastname66,CHR,,F-op205-1,F-sjg30-1,F-cer54-1,C-ts573-1,,F,F-op205-1
stu67,firstname67,lastname67,T,,A-nra27-1,C-hemh1-2,A-msd38-1,,,A,A-nra27-1
stu68,firstname68,lastname68,CHR,,F-ib255-1,,,,,F,F-ib255-1
stu69,firstname69,lastname69,SID,,C-hemh1-1,D-skh20-2,D-skh20-1,D-mspg1-2,D-sas229-2,C,"C-hemh1-1
*"
stu70,firstname70,lastname70,SE,,A-aa406-2,A-mpj1001-2,A-mpj1001-1,C-tb267-1,C-ts573-2,A,A-mpj1001-2
stu71,firstname71,lastname71,N,,D-prhd2-1,D-fam20-3,D-jml1010-4,,,D,"D-prhd2-1
*"
stu72,firstname72,lastname72,CHU,,D-rmf41-1,D-dl359-3,D-jml1010-5,,,D,"D-rmf41-1
*"
stu73,firstname73,lastname73,ED,,F-cer54-1,F-jmh233-1,F-cer54-2,F-mjfg100-3,,F,F-cer54-1
stu74,firstname74,lastname74,SID,,F-gv103-1,B-gmb49-2,F-jl221-1,C-djc13-3,B-smg84-2,,
stu75,firstname75,lastname75,EM,,D-sas229-5,F-gv103-1,F-dsk30-1,F-dsk30-2,,D,"D-sas229-5
*"
stu76,firstname76,lastname76,CHU,,,,,,,,
stu77,firstname77,lastname77,M,,D-sas229-2,D-fam20-6,D-rmf41-1,D-aa22-5,D-fam20-7,D,"D-sas229-2
*"
stu78,firstname78,lastname78,K,,F-rv285-1,B-tdw13-1,F-kmk1001-2,F-rc10001-1,,F,F-rv285-1
stu79,firstname79,lastname79,M,,D-dl359-1,D-dl359-2,D-mspg1-3,C-jpt1000-2,,D,"D-dl359-1
*"
stu80,firstname80,lastname80,HO,,F-mcs1000-1,F-gv103-1,F-gv103-2,F-mcs1000-2,F-icl20-1,F,F-mcs1000-1
stu81,firstname81,lastname81,T,,F-fi224-4,C-mpfs1-1,C-am253-2,,,F,F-fi224-4
stu82,firstname82,lastname82,EM,,C-jpj1001-2,A-aw329-2,D-jma42-1,C-hs10000-2,,C,"C-hs10000-2
*"
stu83,firstname83,lastname83,CHR,,,,,,,,
stu84,firstname84,lastname84,G,,F-tg444-1,C-gnw20-3,F-rv285-3,,,F,F-tg444-1
stu85,firstname85,lastname85,PET,,F-ag495-1,F-js851-1,,,,F,"F-ag495-1
*"
stu86,firstname86,lastname86,R,,F-sb2330-4,,,,,F,F-sb2330-4
stu87,firstname87,lastname87,EM,,F-sb2330-1,A-jmc99-4,D-ib340-4,D-dl359-5,F-icl20-3,F,F-sb2330-1
stu88,firstname88,lastname88,T,,D-mag92-4,F-cer54-1,F-jl221-1,C-tb267-1,F-jmh233-1,D,"D-mag92-4
*"
stu89,firstname89,lastname89,M,,F-ff286-2,C-pok21-4,C-pok21-3,B-tdw13-2,B-tdw13-1,F,"F-ff286-2
*"
stu90,firstname90,lastname90,F,,F-sjg30-1,F-cer54-2,C-pok21-2,F-jmh233-1,F-dsk30-2,F,"F-cer54-2
*"
stu91,firstname91,lastname91,K,,B-par10-2,B-tl322-3,B-tl322-1,B-tl322-2,B-gm603-3,B,B-par10-2
stu92,firstname92,lastname92,T,,B-cd229-1,B-ajf23-2,B-aas41-3,B-par10-3,B-sjs1001-1,B,"B-cd229-1
*"
stu93,firstname93,lastname93,M,,B-acf26-2,B-acf26-4,B-cd229-3,B-cd229-1,B-ajf23-4,B,"B-acf26-2
*"
stu94,firstname94,lastname94,F,,D-jab311-4,D-jab311-2,D-jml1010-3,D-jml1010-5,D-prhd2-1,D,"D-jab311-2
*"
stu95,firstname95,lastname95,PET,,C-ts573-2,C-pok21-3,C-pok21-4,C-pok21-5,D-ib340-3,C,"C-ts573-2
*"
stu96,firstname96,lastname96,DOW,,D-mag92-4,C-pok21-1,C-pok21-5,F-cer54-1,,D,"D-mag92-4
*"
stu97,firstname97,lastname97,JN,,F-rv285-2,F-gv103-1,F-jmh233-3,,,F,"F-rv285-2
*"
stu98,firstname98,lastname98,PEM,,F-ag495-1,F-ag495-2,F-jl221-3,B-gmb49-2,,F,F-ag495-2
stu99,firstname99,lastname99,CAI,,F-ib255-3,F-mt126-2,F-rc10001-2,F-jl221-1,,F,F-ib255-3
stu100,firstname100,lastname100,CL,,B-tdw13-1,C-gjm31-3,C-jpt1000-1,C-aas41-2,B-acf26-2,B,"B-tdw13-1
*"
stu101,firstname101,lastname101,CHU,,C-gjm31-2,A-aw329-2,C-dus20-2,A-sh372-1,D-sdg13-1,C,"C-gjm31-2
*"
stu102,firstname102,lastname102,JN,,A-aw329-1,,,,,A,"A-aw329-1
*"
stu103,firstname103,lastname103,PET,,F-pw117-1,F-op205-1,F-gv103-1,F-sjg30-1,,F,"F-pw117-1
*"
stu104,firstname104,lastname104,T,.,B-tdw13-1,B-tdw13-2,F-js851-1,C-gnw20-2,F-mjfg100-3,F,"F-js851-2
*"
stu105,firstname105,lastname105,F,,B-gmb49-2,F-gjeh2-3,F-swp29-1,F-mt126-3,F-js851-3,F,F-js851-3
stu106,firstname106,lastname106,JN,,B-gm603-3,B-par10-1,B-gm603-2,B-cd229-3,B-par10-3,B,B-gm603-3
stu107,firstname107,lastname107,T,,F-jl221-2,,,,,F,F-jl221-2
stu108,firstname108,lastname108,CHU,,F-ff286-1,C-pjgl2-2,C-pjgl2-1,B-par10-1,F-icl20-3,F,"F-ff286-1
*"
stu109,firstname109,lastname109,TH,,C-am253-1,C-ts573-2,F-jl221-1,C-pjgl2-1,,C,"C-am253-1
*"
stu110,firstname110,lastname110,SE,,B-gm603-4,A-aa406-2,C-ts573-1,B-gm603-2,B-lgo23-2,B,B-gm603-4
stu111,firstname111,lastname111,G,,B-smg84-2,B-smg84-5,C-ajk61-1,B-rvp11-1,,B,"B-rvp11-1
*"
stu112,firstname112,lastname112,Q,,C-gnw20-2,F-mt126-3,C-pok21-5,C-pok21-4,,C,"C-gnw20-2
*"
stu113,firstname113,lastname113,DOW,,C-yysh2-2,C-yysh2-3,C-ts573-2,B-th270-2,,C,"C-yysh2-3
*"
stu114,firstname114,lastname114,JN,,D-fam20-2,,,,,D,"D-fam20-2
*"
stu115,firstname115,lastname115,F,,A-mpj1001-1,A-mpj1001-2,B-pgt23-2,C-gnw20-1,C-gnw20-3,A,A-mpj1001-1
stu116,firstname116,lastname116,PET,,F-ib255-4,,,,,F,"F-ib255-4
*"
stu117,firstname117,lastname117,PET,.,C-jpj1001-2,A-mpj1001-1,D-dl359-1,,,A,"A-ajw36-1
*"
stu118,firstname118,lastname118,G,,B-tdw13-4,B-par10-3,B-tl322-1,,,B,"B-tdw13-4
*"
stu119,firstname119,lastname119,HO,,D-aa22-3,A-jmc99-1,D-ag806-1,C-pjgl2-1,C-dc29-1,D,"D-aa22-3
*"
stu120,firstname120,lastname120,R,,B-th270-6,B-par10-1,C-jhd25-1,,,B,B-th270-6
stu121,firstname121,lastname121,JE,,C-mpfs1-5,C-mpfs1-6,C-gjm31-3,C-gjm31-1,A-amb233-3,C,"C-mpfs1-5
*"
